Processing example number: 1, Real Label = 90-150, Prediction: 90-158
Processing example number: 2, Real Label = 94-158, Prediction: 95-152
Processing example number: 3, Real Label = 121-150, Prediction: 123-150
Processing example number: 4, Real Label = 133-177, Prediction: 134-179
Processing example number: 5, Real Label = 139-182, Prediction: 141-188
Processing example number: 6, Real Label = 140-176, Prediction: 142-172
Processing example number: 7, Real Label = 171-224, Prediction: 172-225
Processing example number: 8, Real Label = 107-156, Prediction: 107-157
Processing example number: 9, Real Label = 162-216, Prediction: 163-235
Processing example number: 10, Real Label = 122-153, Prediction: 124-155
Processing example number: 11, Real Label = 119-155, Prediction: 120-155
Processing example number: 12, Real Label = 120-166, Prediction: 120-161
Processing example number: 13, Real Label = 100-143, Prediction: 101-144
Processing example number: 14, Real Label = 151-206, Prediction: 153-212
Processing example number: 15, Real Label = 119-150, Prediction: 120-150
Processing example number: 16, Real Label = 123-184, Prediction: 123-185
Processing example number: 17, Real Label = 125-185, Prediction: 125-184
Processing example number: 18, Real Label = 95-129, Prediction: 95-129
Processing example number: 19, Real Label = 119-189, Prediction: 120-211
Processing example number: 20, Real Label = 100-164, Prediction: 100-167
Processing example number: 21, Real Label = 130-179, Prediction: 130-179
Processing example number: 22, Real Label = 166-217, Prediction: 167-216
Processing example number: 23, Real Label = 110-149, Prediction: 109-151
Processing example number: 24, Real Label = 116-150, Prediction: 116-153
Processing example number: 25, Real Label = 111-154, Prediction: 111-185
Processing example number: 26, Real Label = 192-231, Prediction: 193-231
Processing example number: 27, Real Label = 89-139, Prediction: 89-144
Processing example number: 28, Real Label = 112-158, Prediction: 112-159
Processing example number: 29, Real Label = 96-157, Prediction: 96-164
Processing example number: 30, Real Label = 95-168, Prediction: 94-175
Processing example number: 31, Real Label = 110-160, Prediction: 109-176
Processing example number: 32, Real Label = 93-125, Prediction: 93-125
Processing example number: 33, Real Label = 157-201, Prediction: 157-201
Processing example number: 34, Real Label = 122-179, Prediction: 122-174
Processing example number: 35, Real Label = 108-152, Prediction: 109-163
Processing example number: 36, Real Label = 105-137, Prediction: 106-137
Processing example number: 37, Real Label = 93-154, Prediction: 94-169
Processing example number: 38, Real Label = 98-128, Prediction: 99-129
Processing example number: 39, Real Label = 118-157, Prediction: 119-158
Processing example number: 40, Real Label = 120-181, Prediction: 121-181
Processing example number: 41, Real Label = 120-150, Prediction: 121-151
Processing example number: 42, Real Label = 109-148, Prediction: 109-151
Processing example number: 43, Real Label = 113-164, Prediction: 113-170
Processing example number: 44, Real Label = 117-155, Prediction: 117-177
Processing example number: 45, Real Label = 135-164, Prediction: 136-164
Processing example number: 46, Real Label = 105-135, Prediction: 105-134
Processing example number: 47, Real Label = 132-189, Prediction: 133-193
Processing example number: 48, Real Label = 100-154, Prediction: 101-154
Processing example number: 49, Real Label = 154-190, Prediction: 155-190
Processing example number: 50, Real Label = 118-170, Prediction: 119-168
Processing example number: 51, Real Label = 101-164, Prediction: 102-173
Processing example number: 52, Real Label = 111-171, Prediction: 111-195
Processing example number: 53, Real Label = 93-125, Prediction: 93-125
Processing example number: 54, Real Label = 103-151, Prediction: 104-151
Processing example number: 55, Real Label = 87-128, Prediction: 88-125
Processing example number: 56, Real Label = 130-170, Prediction: 130-163
Processing example number: 57, Real Label = 172-220, Prediction: 173-219
Processing example number: 58, Real Label = 137-198, Prediction: 137-199
Processing example number: 59, Real Label = 104-152, Prediction: 105-148
Processing example number: 60, Real Label = 229-271, Prediction: 229-272
Processing example number: 61, Real Label = 109-147, Prediction: 109-147
Processing example number: 62, Real Label = 97-131, Prediction: 98-128
Processing example number: 63, Real Label = 89-131, Prediction: 89-131
Processing example number: 64, Real Label = 92-138, Prediction: 92-137
Processing example number: 65, Real Label = 114-159, Prediction: 114-159
Processing example number: 66, Real Label = 119-160, Prediction: 120-156
Processing example number: 67, Real Label = 181-216, Prediction: 182-217
Processing example number: 68, Real Label = 91-150, Prediction: 93-146
Processing example number: 69, Real Label = 114-187, Prediction: 115-187
Processing example number: 70, Real Label = 101-142, Prediction: 102-143
Processing example number: 71, Real Label = 125-187, Prediction: 125-187
Processing example number: 72, Real Label = 124-161, Prediction: 125-163
Processing example number: 73, Real Label = 157-191, Prediction: 157-191
Processing example number: 74, Real Label = 165-199, Prediction: 166-199
Processing example number: 75, Real Label = 115-162, Prediction: 116-166
Processing example number: 76, Real Label = 117-150, Prediction: 118-183
Processing example number: 77, Real Label = 111-146, Prediction: 112-150
Processing example number: 78, Real Label = 90-124, Prediction: 91-125
Processing example number: 79, Real Label = 111-136, Prediction: 112-137
Processing example number: 80, Real Label = 109-133, Prediction: 110-135
Processing example number: 81, Real Label = 99-164, Prediction: 105-173
Processing example number: 82, Real Label = 97-143, Prediction: 98-144
Processing example number: 83, Real Label = 137-165, Prediction: 137-174
Processing example number: 84, Real Label = 105-139, Prediction: 106-139
Processing example number: 85, Real Label = 121-154, Prediction: 121-155
Processing example number: 86, Real Label = 111-137, Prediction: 112-139
Processing example number: 87, Real Label = 134-203, Prediction: 135-203
Processing example number: 88, Real Label = 169-217, Prediction: 169-217
Processing example number: 89, Real Label = 93-137, Prediction: 93-137
Processing example number: 90, Real Label = 90-122, Prediction: 91-132
Processing example number: 91, Real Label = 110-141, Prediction: 111-140
Processing example number: 92, Real Label = 103-138, Prediction: 107-139
Processing example number: 93, Real Label = 111-175, Prediction: 112-172
Processing example number: 94, Real Label = 88-120, Prediction: 88-121
Processing example number: 95, Real Label = 151-184, Prediction: 151-194
Processing example number: 96, Real Label = 95-158, Prediction: 96-158
