null 0:2.3594728117065333 5:0.808779994076104 8:0.5867600614022407 
null 0:2.104040444902158 8:1.185950204241839 5:1.1505155233399564 
null 0:2.3232339650186358 8:0.9528984546810733 5:0.7131551150103237 
null 0:3.667862464321225 5:1.851643729586523 8:1.132337061869677 
null 0:2.865471118025982 8:0.8276198208856884 2:0.7738090221586859 
null 0:2.141903852194108 5:1.2273513054179963 8:0.9021923859148661 
null 0:2.5310010915948595 5:1.573729211591487 2:0.5908557546817074 
null 0:3.202310893146917 8:1.5033468537177814 5:1.425551576449074 
null 0:2.369796755007518 8:1.1195255174287013 5:1.1073428043112963 
null 0:1.4308949623878506 3:1.315696743271739 2:1.2731508435965926 
null 0:2.138857898769204 5:0.9521217507013031 8:0.8414269666495104 
null 0:2.181990170370545 5:0.8330552538013914 8:0.7271162039579312 
null 0:1.7862475782637115 8:0.5248656952126746 9:0.4600784000309768 
null 0:2.805535038693504 5:1.9337508510058987 8:1.0599527060533844 
null 0:3.6882857117916092 5:1.7068664405552691 8:1.3207596524281073 
null 0:2.188276002632904 5:1.1555047338544975 2:0.2544888732242199 
null 0:1.9860920310841685 5:1.0906240264001967 8:0.941643397934805 
null 0:1.884132620320128 8:0.8571884929828187 5:0.7441104635431404 
null 0:3.0702296878795217 2:1.59199167416463 8:1.3160005622966462 
null 0:1.8236370748949504 3:0.9900359603932996 5:0.6150051983993828 
null 0:1.8891554401282828 5:0.6595198069655893 2:0.5778603403180443 
null 0:2.0273419505249994 5:1.1084701370191659 8:0.9280089543439906 
null 0:3.2760783502047044 5:1.6357275194447634 3:0.9482814997497859 
null 0:2.270588355636495 5:1.4748900096239959 3:0.6717046487473968 
null 0:2.2544316778542566 5:1.854883509497557 8:1.3538753402444206 
null 0:3.585930366118488 2:1.6020806487758072 8:1.230319348399475 
null 0:2.54936298483655 8:0.7901517137008212 5:0.7376956274992073 
null 0:0.6374190660556677 9:0.5939374554216315 2:0.30949169807514115 
null 0:2.5363683837428677 5:1.2714568301645168 8:1.0200850670072952 
null 0:2.18098916195458 8:0.7583432338939735 5:0.5942770469887654 
null 0:1.878950761284074 5:0.8610597513562831 8:0.6355061621199439 
null 0:1.4897955154957505 2:1.0858223606755817 3:0.9505861455591962 
null 0:2.2696349300410645 5:2.1206558429658844 8:1.1029031003221996 
null 0:2.4665468902900014 5:1.053600833366954 8:0.8925875352879615 
null 0:1.6776966224713392 8:0.9289504295119387 5:0.8177911557567248 
null 0:3.9453861844685565 5:1.456136278600858 8:1.1578455576560007 
null 0:2.2742865591838575 8:0.7560722854477616 5:0.5899675953781447 
null 0:1.0861040813560146 5:0.5784473467853988 8:0.3580487917129985 
null 0:2.024395263180813 8:1.0094508200888122 2:0.7463694423605827 
null 0:1.5410003042158706 5:0.7900997792240207 8:0.6148921181252531 
null 0:1.654497696961586 6:0.9912926281723327 5:0.43130001990080796 
null 0:1.7634271100387426 8:0.8861215032452123 5:0.6870747526620102 
null 0:2.119763239941025 5:1.1162389497410945 8:0.9672558893199895 
null 0:1.2930480417071981 5:0.7857499805047119 8:0.6039347059981429 
null 0:2.4582291666869973 8:0.838589883533299 5:0.7581166431349466 
null 0:1.0165701363138755 8:0.7371137155794986 9:0.6861375186759632 
null 0:1.871761411457218 5:1.1549262607830402 3:0.7396545893273125 
null 0:1.6668306381887463 8:0.6387269529119947 2:0.37022924077349906 
null 0:1.446469739905873 8:0.6030545366546748 9:0.49166127690782385 
null 0:2.439680619801734 2:1.0191621396648975 8:0.8794359683461799 
null 0:1.6872894611588876 5:0.886479776959415 8:0.7942003997066177 
null 0:2.578185998332179 5:1.459596989456855 8:1.1380872754242455 
null 0:1.6013241492536983 7:0.98400492699827 6:0.7027635079023258 
null 0:1.7797410768919861 5:1.166253295872661 8:0.9687478019270028 
null 0:2.4429553196576226 6:1.4318630586406333 8:1.1633729981988725 
null 0:1.7817010698322855 5:0.9028689648549569 2:0.8532031464233581 
null 0:1.9122632302429616 5:1.0205186970009754 7:0.761844521413283 
null 0:2.1281504705355 8:0.7992481846401538 2:0.6544515533383481 
null 0:2.479320302431095 5:1.7572374775705766 8:1.4463450957021882 
null 0:1.0930570672335789 5:0.5216682511169565 8:0.45909277367639373 
null 0:2.838242305887028 5:2.114587597724662 8:0.9746748698107573 
null 0:1.938747975238739 5:0.9038101845801331 3:0.40511552433116627 
null 0:1.631585607546632 5:1.0606831636701084 8:0.8716161698270649 
null 6:1.1109317510121608 9:0.559860168922157 7:0.44978721102605046 
null 0:1.7954851901389475 5:1.209903520262535 2:1.0717629609567503 
null 0:1.3517045029290875 5:0.5682341239674812 6:0.5147166485990391 
null 0:3.4787001727866924 5:1.6389365000730571 8:0.9301217366518718 
null 0:1.718360197958312 8:0.933204894923225 5:0.8299231402643998 
null 0:2.32097526280485 3:1.5395797209183248 2:1.1693290419365427 
null 0:2.3760128761567896 5:1.1131204767791998 8:0.8048405484490156 
null 0:1.8134496884316542 2:1.1445868207027372 9:0.5157204153713884 
null 0:1.6634975976214663 5:0.9277475836339064 8:0.8945060841936955 
null 0:2.308582228432169 5:1.5005315735819702 3:0.6965909075124938 
null 0:2.299400412662283 5:1.1416569740023108 8:0.8181356841587384 
null 0:1.8442096729681188 8:1.255682798535746 5:0.8938964980407889 
null 0:3.369819243609478 5:1.8806801406262619 8:0.8519725018986433 
null 0:1.7395234431127278 8:0.7406948914231261 2:0.5512983635159786 
null 0:2.3849218618655907 2:1.497120914427221 8:0.9600537959668417 
null 0:1.6743968991515013 5:1.6695581817571767 2:0.9480196366817712 
null 0:2.5290181787475126 8:1.514489324098719 5:0.8621126980905112 
null 0:1.7451688699370134 3:1.198055137471309 2:0.8296285049563 
null 0:3.26664018396799 5:2.21205025382663 8:1.2688128759511974 
null 0:2.1434575294151794 5:1.0712987339721265 6:1.0651573986127973 
null 0:2.237328081352219 5:0.8571036424855452 8:0.7213945675318887 
null 0:3.4808389959887687 5:2.0308373902010013 8:0.9548830769344808 
null 0:2.06312832381916 5:0.7793033019588893 8:0.614149471803153 
null 0:2.07372816109007 2:1.090538763202026 8:0.9158415782986042 
null 0:1.7396177136574984 5:1.1479949850639082 8:0.6153357561212295 
null 0:2.5043976163833093 5:1.5309439088590113 8:0.6014001505546684 
null 0:2.897850803596308 8:1.542668557608078 5:1.3105082937595556 
null 0:3.1452242142451294 5:1.0326034690606862 8:1.0063681935968194 
null 0:2.391871920073251 5:0.8739372185195051 8:0.8397847570388735 
null 0:1.9337986664526672 6:1.0529815491263173 5:0.9315265798248104 
null 0:2.3113458058540837 5:0.9579444283253636 8:0.8687150435169915 
null 0:2.122842445041903 5:1.0875442203255332 8:1.0628326604548834 
null 0:1.8906022520416328 3:1.0758447014254198 5:0.6500512925443855 
null 0:2.2070707946858743 5:1.0731532736969889 8:0.7542115740072034 
null 6:1.0483264614875087 7:0.9517585819550034 0:0.9406902075445318 
null 0:2.4202966323162256 5:0.8868921228001396 8:0.771059929248405 
null 0:1.6197619374156986 5:0.7628198705037358 2:0.5241381084429522 
null 0:3.260267077440023 5:1.8251983049286542 8:1.3467490393137114 
null 0:2.259062255150803 8:1.1000492122024625 5:0.9309201737419668 
null 0:1.8188505111938247 8:0.9670391170216289 2:0.5881451939499591 
null 0:2.8923622704858447 8:1.4879695977301803 6:1.4821255153909823 
null 0:2.284649015617065 5:1.2832684871242823 8:0.8384874507714025 
null 0:1.643545554097515 3:0.7393242111403092 9:0.6550345935215385 
null 0:2.550087843967924 5:0.943088221707 8:0.806025311814162 
null 0:2.0904695229191765 2:1.3909848418119581 5:0.8371514271254469 
null 0:1.26190786058889 9:0.6125139482399317 8:0.5731150879277875 
null 0:1.230380899971516 8:0.5506176982361465 5:0.413650271732984 
null 0:2.3388703789173024 8:0.8846662979782776 5:0.7363092483968814 
null 0:2.5635766288165978 8:1.1544375416841228 5:1.0641168833640398 
null 0:2.8324576733407896 8:1.105157679871845 5:0.7730069920188467 
null 0:2.9029763418104033 5:2.125694093355145 8:1.0597264713077568 
null 0:2.558927631997954 5:1.6147773864529453 8:1.0345938503490169 
null 0:1.8144296122015668 8:0.8118258201258614 5:0.7725426855387456 
null 0:1.293887060344136 8:0.9553281147172049 9:0.8559083438514606 
null 0:2.522215349433442 5:0.9782402459638778 7:0.8486223835101089 
null 0:1.373667254214788 9:0.9852404636806886 8:0.9142020146798194 
null 0:2.64476150777297 2:0.6856934199481824 8:0.6333198427211888 
null 0:1.5623576014851723 5:0.8538919827879572 8:0.532914866223814 
null 0:1.9611553873441274 8:0.9691930717103917 5:0.7882533877793307 
null 0:1.9901521522225118 5:1.2027853360574055 8:0.9068148005166576 
null 0:3.6030171267079467 5:1.8575393318082267 8:1.620090914655324 
null 0:1.4570819413396294 5:0.7227705520281753 6:0.6749520761848178 
null 0:2.4409470601260246 5:1.736028137062582 8:1.147675919288468 
null 0:1.7331948516087616 8:0.6895639877314981 5:0.6151993462255888 
null 0:2.2820379538268507 5:1.0448761212043298 8:0.8997030131463739 
null 0:3.03297681222224 5:1.9734461235849803 8:1.4870188506337414 
null 0:1.6555756833190374 5:0.9093279259517744 8:0.27532315858813033 
null 0:1.807115319021745 5:0.8613469377506813 6:0.5565115138800487 
null 0:2.446325043482324 8:0.8802926259166542 5:0.7599242136447408 
null 0:1.5890168398355238 8:1.160743349630447 5:1.117694858600335 
null 0:2.050905175578325 6:0.9000130522172614 2:0.5616159477455832 
null 5:1.705566046024172 0:1.6028527433584243 2:0.9173994385946503 
null 0:3.2225368590641117 5:2.0553495116861242 6:1.5014482007704693 
null 0:2.4418586187178764 5:1.4374050901599618 8:0.9355297674653981 
null 0:3.089721833032032 8:1.5595039075643402 2:1.5150579983728212 
null 0:1.7753396291900407 8:0.6916826675889516 5:0.675141584922879 
null 6:1.443550256842232 0:1.4267307705612127 2:0.6969384703057346 
null 0:2.816870862739908 5:1.512533590921656 8:0.8973872902057427 
null 0:1.966733651293991 8:0.8130563447458218 5:0.7515556942844301 
null 0:2.430798651918803 5:1.3087979221428232 8:1.1551837999423398 
null 0:2.323576572559635 5:1.6328139838364286 8:1.1768714900464092 
null 0:1.7924114192734995 3:0.8511558621282338 8:0.5889509917237171 
null 0:2.506979743878154 5:1.2300632068572677 8:0.895197765813618 
null 0:1.6450299985548962 3:1.0796809640139848 5:1.0272666605254264 
null 0:1.7480881542853324 8:0.7723403403557197 5:0.59000305708865 
null 0:2.987891126002465 8:1.1135691819878635 5:1.0285482372906982 
null 0:2.6016989959864842 5:1.7152511559353096 8:0.9558333400608646 
null 0:2.2468857972724163 5:0.8202408669002056 8:0.8197460632686983 
null 0:1.2239049912670052 4:0.7373681792727755 9:0.7066962337972602 
null 0:1.7742224538424973 9:0.6465519771672543 8:0.47093798496108585 
null 0:1.6372667506867722 5:1.0580107678186819 8:1.0386602494404138 
null 0:2.688570150510679 6:1.384469350464066 5:1.1471882847208912 
null 0:2.073038236229976 5:1.0244166709910936 8:0.9790876866351873 
null 0:1.4009110164497338 8:0.7600281250537524 2:0.45252128451560647 
null 0:1.5937440413347257 5:0.7843825902424137 8:0.7675128727193987 
null 0:1.4897463577054564 5:1.0168158181467601 6:0.5293431233318111 
null 0:1.7630105145782329 5:1.2633101806405989 6:1.2044541634639157 
null 0:2.0682282242068775 5:1.1468970318617575 2:1.1086469601872668 
null 0:1.9428545282156524 6:1.2528902723504938 4:1.0886528951108705 
null 0:2.0804804097958423 5:1.3259122261345937 8:0.6931359242123306 
null 0:2.4806624567486684 8:1.133020357429486 5:1.068100115267515 
null 0:1.8553104285646231 2:1.160708701051441 6:0.4156966867000468 
null 0:3.087798773377578 5:2.4419592857174215 8:1.4243906369033823 
null 0:3.116652811720173 5:1.8665836471395143 8:1.8297740445038198 
null 0:2.072410997898927 8:1.158652549891384 5:1.0316646971423247 
null 0:1.7175590648950496 5:0.9225798860631566 8:0.7184641228354878 
null 0:1.535585036192733 8:0.7062394884449006 2:0.6077693711690155 
null 0:2.684050683829574 5:1.485976465908938 8:0.45975382186031194 
null 0:1.7124710292130654 5:0.48212737541335365 9:0.40538486093332515 
null 0:2.630949470171869 5:1.4750912557382057 8:0.9540631895031122 
null 0:2.3215459160866185 6:0.9660191342762071 9:0.7027729579860639 
null 0:2.0544630835911843 5:1.332970826889648 3:1.2780248290046 
null 0:2.0214801723081846 5:1.2870803615203636 8:1.0681519481883028 
null 0:1.7117281529448394 5:1.2114623559875792 4:1.16559215340515 
null 0:2.5097189258270336 5:1.1701672240027308 8:1.033587765357436 
null 0:2.9912258614475586 8:0.9457928972748575 2:0.7466844845562783 
