null 0:5.806442343998204 5:1.099712949133898 2:0.918857922318395 
null 0:5.410742126856912 5:2.7184364344747656 8:2.5510652942656074 
null 0:5.736492870084511 8:1.7801046370978482 9:1.4673902650971584 
null 0:10.26148392502383 5:4.434187012207563 6:3.9656876596041784 
null 0:7.092367874189538 8:1.7544434675827751 2:1.4326334686423856 
null 0:5.236785992269858 5:2.569840097347132 8:2.4336166826835166 
null 0:7.603252625483309 5:4.256561743603754 2:1.8285102631085048 
null 0:8.666249722923515 8:3.590408599532056 5:3.194624899655578 
null 0:5.499707271955078 8:2.3538066796494093 5:2.2471381534533745 
null 0:4.642899553479751 2:3.2335109316751085 3:3.102791863222845 
null 0:4.912115880769505 5:2.029308115577814 8:2.0190546024082194 
null 0:5.163296337143571 5:1.6694922753903016 8:1.5484291165373782 
null 0:4.485532491189511 8:1.3638275366881227 5:0.7288335511161981 
null 0:8.72276004187128 5:5.236298507703154 8:2.5622692600557784 
null 0:9.530173283717748 5:4.176739821233083 8:3.1067239384868968 
null 0:5.729491000210041 5:3.368485948176817 2:1.2084759016309452 
null 0:4.5990382595884345 5:2.0969481420841896 8:1.7579153076078273 
null 0:4.307138229813398 5:1.7180388471678898 9:1.666846352533739 
null 0:8.389256872294169 2:4.614717130667835 8:3.8501427696068853 
null 0:6.047371176658184 3:2.3300614946836955 7:0.8790558548656976 
null 0:4.990305715478572 2:1.3244536109795537 5:1.0637870278897688 
null 0:4.627940105021786 5:2.18924042124544 8:1.7227271008789289 
null 0:9.691078110173981 5:3.7000232219353744 2:2.629985553578579 
null 0:7.020925922306704 5:4.160138796940384 3:1.5122006596335484 
null 0:6.797670783391938 5:5.951440746783006 2:4.36963013627142 
null 0:9.845907229731623 2:3.5515112589906277 8:3.290327633994998 
null 0:6.8464005116084685 6:1.779641228449382 8:1.6348290986652312 
null 0:1.4608217453931773 9:1.4430331814357582 2:0.722084205877422 
null 0:6.865122348509128 5:2.5817184774485074 8:2.1080279272352187 
null 0:5.478886044155178 8:2.122089977780265 3:1.5749616298531297 
null 0:4.139048392391046 8:1.8739495921605562 5:1.726647133772172 
null 0:4.288736488327766 2:2.9712165380442217 3:2.7789620444100276 
null 0:7.624896461644183 5:6.277215814947522 2:3.0701837610296545 
null 0:6.569280239156425 5:1.877127029991816 8:1.7231826241190622 
null 0:4.626224845025416 8:1.8918075116945328 5:1.8632448032886115 
null 0:11.006524158477097 5:2.570570069385929 2:2.190960553759646 
null 0:5.496818680703252 8:1.7804355264832814 6:1.6035395099040555 
null 0:2.337781863826548 5:1.3977832227844453 8:0.9147367616830985 
null 0:5.730818631744075 8:2.6020310535141906 2:2.2604055626329234 
null 0:3.960763125187436 5:1.6313297033356011 2:1.2211839584920017 
null 0:5.128698883565699 6:3.577176988336562 5:0.7604184989460068 
null 0:4.582763487989941 8:2.169260373951884 5:1.5298089742355714 
null 0:5.491171142011475 5:2.316527257843187 8:1.9255227363837313 
null 0:3.775824086483664 8:1.7575189159516003 5:1.5735096097058834 
null 0:6.707497319609475 6:2.1393729080368407 8:1.5593361105050352 
null 0:3.051479827856674 8:1.7511161755583184 9:1.3706677096998958 
null 0:5.659268254182468 5:2.495658181394663 3:1.316655175134216 
null 0:4.381650877218879 8:1.3952450476989786 2:0.7349553208228877 
null 0:3.130564299828127 9:1.1209939417224681 8:1.073216739753855 
null 0:7.788102971176621 6:2.9756554895278584 2:2.9125803153623546 
null 0:3.9635583202747973 5:1.9717315027040272 8:1.6583832483052592 
null 0:6.096401766936006 5:2.908556493330151 8:2.3682071150672135 
null 0:5.572921696155848 7:3.1204425459568657 6:2.8390093278029096 
null 0:4.740208894783822 5:2.980678331315214 2:2.221607056936749 
null 0:7.519429639192793 6:4.537151405217557 8:3.4728881004851497 
null 0:4.165637233764459 2:2.133295874542247 5:2.035100436022329 
