null 0:10.033707261617005 5:2.96069653636219 8:1.6117978070708903 
null 0:9.367620089542928 5:4.757087434236648 8:4.244393238281653 
null 0:9.661730878304255 8:3.8893597321454023 5:3.2130502948672497 
null 0:14.874307148263963 5:6.582553762632518 8:3.3854861771143656 
null 0:11.353151356274363 8:3.356072807482269 5:2.5350137266157025 
null 0:7.718779942119733 5:4.522826397795317 8:3.3877232423145363 
null 0:10.13421428180881 5:5.437213348715124 2:1.680994672846891 
null 0:13.500804553760213 5:5.733601343014011 8:4.942486623329809 
null 0:9.373224306921632 5:4.612700914303297 8:4.371760649599439 
null 2:4.926392631232899 3:4.908016675940013 0:3.760826306486109 
null 0:7.154735511479301 5:3.8399748154821562 8:3.0768816226056135 
null 0:8.91055833345875 5:3.483125077348317 8:2.8847532254645833 
null 0:5.937007098851902 5:1.700179293984673 8:1.6204075438733636 
null 0:11.495312312656683 5:7.323352941797931 8:3.6095271059194016 
null 0:15.049018589194798 5:6.957073947769389 8:3.9502482310424663 
null 0:7.8782220393087075 5:3.997666955236493 2:0.5748881520750632 
null 0:8.450252305102442 5:4.097542515858811 8:3.4020732837561196 
null 0:6.137674347842707 8:2.7235098239345112 5:2.4167821406010654 
null 0:11.820706140970968 2:5.672129910054041 8:4.357551985973537 
null 0:8.56186172992322 5:2.2175479061755246 3:2.021967307320836 
null 0:6.218142045411197 5:2.3077239671096286 2:2.274547163001418 
null 0:8.241789536934377 5:4.045416144678971 8:3.7842702160396344 
null 0:15.183640724556843 5:6.632761875731774 8:3.4752376492718478 
null 0:8.752355452879485 5:5.477095087695582 2:2.287708792684204 
null 0:7.792465656789918 5:6.643591731817067 8:4.871781844808853 
null 0:13.040127673089103 2:5.643633684620025 8:4.3556329385823265 
null 0:10.543435851891468 5:2.759674131679124 8:2.6423361176378224 
null 0:1.7653265569994634 2:1.4205353665092546 9:1.303261067959505 
null 0:9.68849052139228 5:4.5862122023742495 8:3.2497597193174377 
null 0:7.147202269256185 8:2.6444707729483015 5:2.1373991998586024 
null 0:6.251846883807855 5:3.4932655312279692 8:2.537455495335788 
null 0:5.624070706317226 2:3.8066845266139206 3:3.680259913515265 
null 0:7.750481802632889 5:7.024962380720539 8:3.5030244290881503 
null 0:9.780656143024553 5:4.286357044493245 8:4.187887746278173 
null 0:7.887537523282086 5:3.924385812227159 8:3.5170612798618404 
null 0:15.708299672058047 5:5.385233312421726 8:4.154344656504627 
null 0:9.307496086844433 8:2.7743913186883926 5:2.497896019222532 
null 0:3.3794002827368628 5:1.7410143216878 8:1.5590941591286873 
null 0:8.66699976735062 8:4.117076048357141 5:3.3395350293179993 
null 0:5.376495656512036 5:3.3461949029517344 8:2.1721296213478825 
null 0:6.769934366119331 6:3.144377830170026 5:2.3860642566760504 
null 0:6.8428275850724845 8:3.155018199572365 5:2.159316899400368 
null 0:9.926124668752385 5:4.536122969896543 8:3.0643850579445036 
null 0:3.932845251535519 5:2.441698142349561 8:2.1215459287403564 
null 0:11.207682333541097 5:3.643555882251984 8:3.131531109678744 
null 0:3.30382180476224 8:2.627288172758282 5:2.036915126285685 
null 0:5.894779822153961 5:4.553966398972422 3:2.1978353819279968 
