null 0:3.600450899924798 5:1.0128917854607635 6:0.6126843208526934 
null 0:3.2746285659365335 5:1.6463973080549972 8:1.485520336389449 
null 0:3.493465758212914 8:1.3736507403924783 5:1.0570379697626882 
null 0:5.548125492341232 5:2.416072178169408 6:1.8643022003817895 
null 0:4.106172714974133 8:1.0642591048630128 3:0.9763546568529475 
null 0:3.0627248082050165 5:1.7251051863238516 8:1.6367891246652992 
null 0:3.722551815674358 5:1.9190632398619596 2:0.8081006351941956 
null 0:4.863917021276131 5:1.9453796059405053 8:1.6800598254073928 
null 0:3.5015677992189307 5:1.7702667511353936 8:1.525218964295968 
null 0:2.2606756581528513 3:1.9561307532665673 2:1.6940183545756775 
null 0:3.0510762098124977 5:1.3860437490951107 8:1.290091939670527 
null 0:3.189606900823707 5:1.2360276980655598 8:1.0254418049680356 
null 0:2.6158880781104483 8:0.7205397047991486 5:0.6094051285580291 
null 0:4.332619922656396 5:2.5316168897429265 8:0.9914119010590716 
null 0:5.341622580126397 5:2.4778156281012276 8:1.3871000637741004 
null 0:3.3409636461172623 5:1.9514431012230273 6:0.40423053584841123 
null 0:3.0824376577425605 5:1.6276692393097918 8:1.0997009919992322 
null 0:2.705717281040943 5:1.1504443423724608 8:0.8218536793029534 
null 0:4.3837492277281545 2:2.447493009553625 8:1.6647784894730946 
null 0:2.7421324493854042 3:1.1466700551936686 7:0.570157298866597 
null 0:2.8620628121668754 5:0.923518138997318 2:0.7509535709249973 
null 0:3.0469189831948587 5:1.6568927454916043 8:1.19831897408031 
null 0:5.044217922206352 5:2.162387748080883 3:1.0711486763445726 
null 0:3.460090797078477 5:1.8406174566477589 3:0.763172723062078 
null 0:3.394529766017567 5:2.5386906990663602 2:1.779019733116619 
null 0:5.310901988687216 2:2.3184813911130835 8:1.4642334117940277 
null 0:3.7691528288642493 6:1.150991123835731 8:1.0722888285748347 
null 0:1.0716039190955047 9:0.553711558866705 2:0.5379840535213082 
null 0:3.990123567905482 5:2.0097802438235477 8:1.1685751713679897 
null 0:2.916698607481597 8:1.173920011875119 3:0.928179918020761 
null 0:2.7483373956090724 5:1.3449894616986278 8:1.0929302671268712 
null 0:2.2255760780415947 2:1.502314192737009 3:1.4329299738516956 
null 0:3.34722030656399 5:2.8310067682706768 2:1.4604420608085378 
null 0:3.816036353053262 5:1.4540738123370751 3:0.976327332150229 
null 0:2.6780537076636044 8:1.1744495705168667 5:1.1269873207398053 
null 0:5.986052700566625 5:1.5946371892640456 8:1.2038235681961853 
null 0:3.3150648785328825 8:1.121658502786317 6:1.0329602068290211 
