null 0:390.98518839814835 5:155.46114691459198 8:67.90463375448726 
null 0:414.81443824472206 5:237.06792952437706 8:169.5105979801562 
null 0:372.9727047288071 8:168.89596801059628 5:140.14737740199985 
null 0:735.4229359757259 6:366.4468479135446 5:354.50042685404435 
null 0:490.2347073783749 5:175.54733493861306 8:100.42940812469422 
null 0:341.85600998856586 5:256.0965577544214 8:178.81785083034936 
null 0:555.4877323422527 5:347.3777010789003 6:149.09114362246348 
null 0:559.3680012738711 5:304.1979287018965 8:248.77644352364226 
null 0:415.04121978910416 8:204.6733587091511 5:191.4016555390319 
null 3:237.1024170173291 0:211.92697248503106 5:185.84241056987514 
null 0:279.727318151701 5:222.1033777002683 8:154.4502299613373 
null 0:322.9682184492742 5:218.76547468257772 8:101.80069810162419 
null 0:256.5082122032921 5:122.88492568934535 6:74.33224399208535 
null 0:638.361726663358 5:389.11880647592903 8:128.23613253209643 
null 0:657.7707313077993 5:395.0906877269945 8:197.84015151576838 
null 0:506.62163479527203 5:246.7697403312069 2:34.34582862409607 
null 0:321.31444870707514 5:258.55672977233485 8:148.5232879248424 
null 0:309.4699736834019 5:219.60052150980079 8:132.51899044523907 
null 0:535.4670049810919 2:369.35644755563754 8:320.65869454913366 
null 0:387.8143780838458 3:182.28246129973812 5:125.8671373518474 
null 0:262.4462668467571 5:204.70376832815398 8:53.39544466841723 
null 0:314.88057257371213 5:258.74804615145666 9:105.88666092454079 
null 0:666.0756396329957 5:389.1746047032946 3:157.74771150408498 
null 0:434.18371469268556 5:328.45164741920735 3:114.21258767301366 
null 0:545.2686312110959 5:448.02875477999527 2:382.681220459087 
null 0:640.7638773715695 5:231.68338473922145 8:223.9789639173627 
null 0:480.85660452791006 5:186.84690701266942 8:121.09356928937335 
null 9:169.24775867726808 5:95.70741764108939 0:86.14510121746117 
null 0:514.0810788252942 5:228.2413759880763 8:167.67840027893646 
null 0:338.98020207878386 8:154.80267277514943 5:146.00459471250278 
null 0:290.353837195541 5:178.12907908232057 8:138.83504352260903 
null 0:201.20318562610908 2:174.1305129111899 3:120.73556896394935 
null 0:550.7801453542021 5:537.3252027754125 6:236.29140356368367 
null 0:380.764207781492 5:268.07972916271683 9:153.8337077554976 
null 0:314.4654583409963 5:203.2921881629102 8:153.8826363798022 
null 0:713.9314139044876 5:274.0721703764966 8:136.39980434511375 
null 0:353.21584532742213 6:176.26406045386904 5:133.57912321949823 
null 0:215.41404413181198 5:102.44399240455212 8:59.97495881138097 
null 0:317.43001990573197 2:169.43184001267232 8:162.73285879474844 
null 0:251.673193281007 5:192.65969446169046 8:130.61480176821638 
null 0:381.707460164628 6:270.6458042894266 5:53.63541424118185 
null 0:298.3275870891138 9:168.8465642541009 5:128.6283646349326 
null 0:391.58046923551416 5:206.033310616883 8:140.22020768858917 
null 0:271.9534482560018 8:150.5418774093262 5:139.2158064527741 
null 0:432.1220005861271 6:152.4707188935423 8:147.59977862971223 
null 0:239.2494705979075 9:156.78520544030678 5:137.64178841948393 
null 0:262.9930717537608 5:237.03945758149152 7:110.57048865721579 
null 0:219.22342030073523 5:97.13557095197359 8:93.27692652450033 
null 0:159.352496476553 5:98.13823377832169 9:88.03170036143885 
null 0:468.22717316028593 6:249.04866610272146 8:192.91845583987453 
null 0:314.90551039259594 5:163.37250258749515 8:146.47853537028936 
null 0:444.7037847740542 5:324.7504340074626 8:210.38605819658127 
null 0:362.7426742628666 7:247.8423462470403 6:218.7576617453546 
null 0:320.51085001378794 5:259.1025002166578 2:122.07445161410894 
null 0:472.6406384806312 6:293.01066679973206 8:240.97889266395973 
null 0:291.92831399865713 5:226.57131901850255 8:71.35147975554737 
null 0:444.7709366418458 5:183.82842787559 6:142.06885477221357 
null 0:336.90503036933967 5:150.92885783681498 8:120.29344260345928 
null 0:489.6573353372901 5:360.2239130976218 8:282.9225366674355 
null 0:286.787689347246 5:100.72423232585705 6:72.53155091517247 
null 0:623.6985791655891 5:470.06330659327006 8:115.96838038423743 
null 0:459.01802819339593 5:268.77892354088766 3:119.32803837797151 
null 0:338.8640189728121 5:199.79806990696517 8:132.1836116152303 
null 6:282.15116405161353 5:146.04382478576787 7:106.5660232234925 
null 0:359.8225496028569 5:250.51100690270317 2:182.5498333430589 
null 0:238.78132598754712 5:198.78325854154943 8:63.14019647350605 
null 0:753.436897987227 5:386.5640424884666 8:160.23615437176264 
null 0:285.48546604185606 5:169.37604239062807 8:145.00813915043432 
null 0:419.64707668514274 3:254.46025992142617 2:193.70659458305835 
null 0:450.578372216967 5:169.56505533187132 6:128.03706417326418 
null 0:319.83965846196213 2:213.20275110931783 7:127.08695942483956 
null 0:316.90549887568324 5:188.89776519469245 8:147.96002848317323 
null 0:544.3237322472924 5:380.58061736930404 8:135.54335878347544 
null 0:386.294897819838 5:219.8675021294748 8:125.02417126620813 
null 0:259.0601351705641 8:192.27138004202547 5:154.5004110619598 
null 0:730.026891632188 5:356.78653135091963 6:244.44409814436128 
null 0:282.48978452948216 8:154.78098805465345 2:110.21692968167629 
null 0:334.4074531516534 2:302.0007780017911 5:183.06542687204342 
null 0:490.035678412085 5:351.7584879121009 2:187.71472501361123 
null 0:389.312961029568 8:272.9203233256131 5:49.41112639780599 
null 0:273.61807194603983 5:135.86163582536673 2:119.06142154792062 
null 0:724.402363962122 5:605.9881710083922 8:246.60210065432634 
null 0:400.5582526031981 6:235.13240347348227 8:167.11816221002923 
null 0:348.01715974797867 5:198.7689179120205 8:98.78504775790996 
null 0:701.3207081879999 5:420.28730534191 8:120.74834549267405 
null 0:345.7823665507961 5:205.53167020506203 6:146.75898947074225 
null 0:327.2569997726871 8:191.8197439628793 2:187.26570078125187 
null 0:361.31501581566374 5:243.51204756470625 8:158.3278974347082 
null 0:536.1729034649028 5:279.71599283396216 8:84.82877075303118 
null 0:584.7924492099063 8:300.5111940321975 5:186.33096667961743 
null 0:648.3925227497892 8:178.0882197334583 2:143.9261994482992 
null 0:385.87902643498103 5:185.31693438394592 8:138.8293214686765 
null 0:360.19198914198574 6:283.9018304137173 5:228.72037675064797 
null 0:425.32937079601015 5:189.9086684331524 8:153.77029257818242 
null 0:326.5162420572813 5:307.9223540746022 8:183.61600717726736 
null 0:370.816108135174 5:231.60921739041757 3:192.70314637440052 
null 0:372.8381874629538 5:213.4326488142651 8:118.95241720315221 
null 7:300.1481963923994 4:259.74836984472586 6:218.96584045397165 
null 0:424.3656548987149 5:205.8464632004858 8:113.13198411358209 
null 0:321.9341540578091 5:188.3357183881711 6:174.97901384026034 
null 0:612.9465245540559 5:344.7963050434271 8:201.55323112185616 
null 0:407.9837789461883 8:211.1330757901461 5:202.275626937557 
null 0:250.23580261632296 8:187.11154558770127 2:159.7876781054468 
null 0:584.5662362193154 6:331.7552351433381 5:309.9555560839055 
null 0:409.8965416728349 5:289.1584040089651 8:150.2786466247687 
null 0:220.52870210839822 9:139.3169490555816 5:131.43628896671623 
null 0:400.2012085393751 5:166.61864584169228 8:122.30594170613435 
null 0:353.689570636111 2:286.98847277930196 5:239.0166916388831 
null 0:250.49906239392948 6:139.44658023050962 5:105.58318639964627 
null 0:262.0224642214659 4:123.2541951544408 5:107.63936993682071 
null 0:371.7472084483944 8:163.06922901634948 5:153.06595904051386 
null 0:454.0109045706447 8:226.2415088992922 5:188.7056723538128 
null 0:420.5035274673841 5:179.79476397740282 8:170.90731884987153 
null 0:629.3398207764649 5:462.3227759411912 8:152.43653112319421 
null 0:530.2044916319498 5:342.03745206015196 8:154.19328664459752 
null 0:285.39949833499224 5:194.54896006947212 8:135.94153234072223 
null 0:205.30695130174982 8:182.39924648554756 9:159.00789166675364 
null 0:545.0367756115639 5:157.6986611705209 7:101.63956764243862 
null 5:210.50653427656022 8:176.97979603164964 0:171.20516015632023 
null 0:396.3013539496869 5:160.92295121865527 8:88.2826148911373 
null 0:267.3646678273223 5:260.6863812039588 6:151.15795839942754 
null 0:325.05680676027634 5:167.18770551348166 8:153.58369521409725 
null 0:418.6500518304091 5:264.6862667824087 8:130.670360758977 
null 0:723.1801972764683 5:377.790909939429 8:257.3865070514205 
null 0:262.47181141882567 6:126.79866314264987 5:97.95641677252053 
null 0:417.12034207454377 5:360.77548498451443 8:182.04008977851237 
null 0:243.46785377978907 5:135.48757736925842 8:129.6529162682104 
null 0:405.1776322121443 5:181.9260836899678 8:132.47026823000436 
null 0:707.2318559724732 5:389.49626116732935 8:252.625759986508 
null 0:353.094436761133 5:210.12705837973922 9:91.43540762903463 
null 0:329.8406503684832 5:217.64579648911496 6:159.28201703550357 
null 0:381.0554449105333 5:215.29399412269314 8:141.19039922462542 
null 0:291.76945763960913 5:260.00549892594614 8:214.05143531533585 
null 0:315.3642382384282 6:202.37700285202632 5:141.16171494328879 
null 0:391.56851674148277 5:265.0059648666158 6:259.42433226316626 
null 0:708.8129871928273 5:510.0650897824317 6:365.6983175671954 
null 0:419.5088246604209 5:250.90470153344006 8:179.0167008577361 
null 2:457.7254443649101 0:393.701169996098 8:342.53599670036465 
null 0:210.75448085540523 5:172.56650683702452 8:120.98301497665427 
null 6:278.33729935240353 0:257.1065037726513 2:157.1256582646262 
null 0:611.0693048477857 5:371.86763685242516 8:195.071078496895 
null 0:372.617671345995 5:188.2272284354424 8:153.1123920567491 
null 0:470.00561688373614 5:257.8109476193794 8:153.11011731240228 
null 0:520.840370405461 5:425.1711412418492 2:225.87533358203277 
null 0:327.00586431254897 5:156.70715306521703 3:105.19758410742106 
null 0:407.1677918007509 5:254.2852247236531 6:124.16054181354043 
null 0:345.6636337648659 5:299.6011804185768 2:199.47753108796815 
null 0:276.7431299516921 5:137.79973413761147 8:125.45826976441828 
null 0:534.9876304323852 5:204.66846454529946 8:186.8511847888994 
null 0:464.34101590446966 5:391.34664394868753 8:109.22187607006934 
null 0:358.0196748772141 5:174.19435249584586 6:164.84598704676114 
null 4:366.9978841658318 0:273.96129157850413 9:128.58263845824175 
null 0:269.7526775228411 9:162.44793798754984 5:113.20321830424942 
null 0:313.80663172007013 5:246.22681687135142 8:155.8116064113754 
null 0:408.5005940452664 5:251.0678112960131 6:243.93132619128298 
null 0:361.01938475391535 5:176.15786072452735 8:126.66431620683792 
null 0:251.391309111266 2:143.97505127073887 8:125.00922398856599 
null 0:280.7947261987721 5:178.18935707295515 8:137.39659230939534 
null 0:338.90855392862477 5:177.5345096262712 6:131.53886005858354 
null 0:375.43044602479006 5:302.8220449865953 6:259.42727365130844 
null 0:382.6157629630879 5:268.3303955112302 2:174.58207943456344 
null 0:487.5548984440793 6:356.60134511003236 4:287.008140531346 
null 0:435.1388441905142 5:275.7848490937238 8:136.20996089354838 
null 0:382.0425108616183 5:216.71166338807222 8:172.9983327978424 
null 0:343.4069818917941 2:244.19418637433853 8:82.12546862796012 
null 0:696.047572314245 5:665.4822113896121 8:283.3431960281749 
null 0:552.2492288300334 5:343.20414708793106 8:322.6610597921746 
null 0:441.007053969863 2:285.66949455480886 8:232.91335422361408 
null 0:317.10214766229967 5:191.8965369594884 9:135.91636758004557 
null 0:257.3820307326271 9:139.23721210177084 8:109.86215340054001 
null 0:522.0821375795048 5:213.58349529404973 7:112.26339543450362 
null 0:288.7737784686599 5:172.0901511086635 9:82.23021989678175 
null 0:541.9656057317693 5:312.638839714846 8:100.60379338199233 
null 0:488.72113613511686 7:224.98932602715502 6:193.5326373172251 
null 0:397.9828529181471 5:360.6549820288739 3:203.53088225114325 
null 0:348.96940718238 5:279.0522853717205 8:184.71830304386495 
null 0:462.09480631867706 5:286.4977907188484 4:285.5429412910065 
null 0:409.85170132174517 5:199.53690927515316 8:175.77737094841825 
null 0:554.5339497529086 8:159.23702451700575 7:109.03791899126823 
null 0:354.6372166687114 5:156.41503768712036 6:72.39377486477535 
null 0:341.092244728468 6:289.4861175029846 5:220.4676295430718 
null 0:352.6006174643828 5:194.00644597638288 6:107.5682655276634 
null 0:661.9184466208497 5:190.55070009188793 8:86.58818523382125 
null 0:447.02817411350975 5:293.0726207204299 8:158.21024015333342 
null 0:634.9254293367151 5:252.51178346339267 9:157.4366147307704 
null 0:536.5626181818359 5:308.25731425842025 6:111.21123058381559 
null 0:382.281646130787 6:230.96855081244345 5:169.08823150772804 
null 0:582.9670973576411 5:297.9414785571282 8:135.1201318518354 
null 0:194.11197840735326 5:152.3344598391196 8:133.68692668846424 
null 0:311.51160809506536 5:263.57404860467074 8:105.18244375525627 
null 0:324.44606905904425 5:276.59698969956435 8:121.35178300845996 
null 0:380.24129358942895 9:119.61079442668574 5:111.03157996523538 
null 0:366.09055743143307 5:168.42920186729248 2:129.33204507049132 
null 0:530.3350811387961 5:335.16388020578523 8:211.7122576659774 
null 0:393.97971291442894 5:177.77451938506042 6:115.54289656829324 
null 0:352.050046906232 8:125.73047497856025 5:116.62014697578091 
null 0:444.03728728798677 5:335.74954823710726 3:214.9250527061564 
null 0:371.7728597790471 5:249.40509384058552 8:197.16838118227844 
null 0:604.208554574639 6:286.8977945559076 8:187.41549761692042 
null 0:392.48963052597935 6:277.22599020289715 8:138.1969357689013 
null 0:455.43242741813623 8:318.29123749718514 5:300.96641935080555 
null 5:568.7536190850849 0:544.2700497690497 8:236.74493525420533 
null 0:485.3545250928506 2:387.3614765291733 3:301.126125720877 
null 0:235.80344837484594 5:196.84447822877308 2:89.23940074820344 
null 0:364.9062311505782 6:253.7388823748624 8:198.18523205853316 
null 0:783.5574137658458 5:549.4416662668888 8:201.82590789674583 
null 2:279.81213709866086 0:202.9407893247301 3:141.2259608468075 
null 0:328.700410928832 8:213.5822801267443 5:169.5987416443986 
null 0:705.5532893645284 5:257.96183213997807 7:185.07661144921153 
null 0:439.7647834457913 5:86.30896345400836 8:56.43467282918322 
null 0:330.0333834726002 5:152.38238857943537 9:134.53813896163683 
null 0:447.494356976966 5:308.1964658998613 6:252.98527901542548 
null 0:435.34667272916005 5:303.01817326969007 8:167.59009148176136 
null 0:274.351845338648 5:209.25865396490775 8:138.41372367471814 
null 0:465.12927626672496 5:299.6285636918518 2:176.29080803927533 
null 0:271.91694461208607 5:184.68184821610478 9:84.42026968146972 
null 0:262.1709759149081 5:182.75512100969922 8:92.60240092697032 
null 0:325.68990189648 2:199.05316117070274 8:140.7612856135084 
null 0:662.1950789025431 5:313.56310905231453 9:184.64811370129257 
null 0:471.0252752197734 5:105.82344547114619 6:88.60970392569932 
null 0:361.62591091606424 5:181.18698942333418 6:111.68903222208736 
null 0:504.91703098070917 5:241.4461287475397 8:229.5749412548673 
null 0:855.5658826777202 5:378.45547089648153 2:143.61786892867633 
null 0:325.9317115635681 5:210.3631474658052 9:190.11603879276282 
null 0:329.8501943548099 2:297.1541220028649 3:164.5370040499563 
null 0:166.29302655138108 9:106.92450617262332 5:80.90776541101876 
null 0:587.4557528840814 5:272.99388851317514 2:75.98569719137316 
null 0:450.11359727462207 5:366.4536389585251 8:250.7423323730526 
null 0:392.42195227456926 5:187.26497840680207 9:141.92548175753547 
null 0:746.6457321212414 5:603.5329761864704 8:285.69562677620223 
null 0:230.4143639612962 6:198.98376570980142 5:130.9337077596779 
null 0:582.993811948583 6:233.6225965163355 2:221.5338940458623 
null 0:565.6323163745501 2:307.826792248007 8:166.5311400166803 
null 0:906.6943464901033 5:403.34878889090606 8:255.92438856019308 
null 0:247.02101190073904 5:173.09257810081536 8:161.2148329515122 
null 0:367.80532007831124 8:178.93596031946433 5:102.2051047506158 
null 0:249.51801260905714 8:147.08441548741712 5:69.8328232757775 
null 0:379.4929355168841 8:123.62661991510653 3:87.18384067704952 
null 0:514.7206468442071 5:201.1183301126646 2:156.57293394823287 
null 0:477.6249496583672 8:160.40765366809842 5:152.6915143219554 
null 8:251.51970171709442 0:220.85136185314096 5:188.36948032194408 
null 0:495.54967854411814 5:296.55175155030605 6:240.8544969495984 
null 0:391.21968478416704 8:185.69396328595144 5:131.51288126882707 
null 0:407.15835482165573 5:224.30583162593268 8:101.80863898310324 
null 0:676.0053486220622 5:229.27944249744286 8:168.34872106080445 
null 0:195.94391816300413 8:125.30833455770822 5:82.13615223822691 
null 0:387.95933358454505 6:271.57702714130323 5:157.5315813175533 
null 0:357.08077743783105 2:84.9601026933193 8:80.13053567380449 
null 0:328.25748806773 5:253.00939569377877 8:155.21194782527627 
null 0:443.44832683044206 5:163.16002702251882 8:150.6919139846534 
null 0:359.9904331143541 5:164.4284101578521 6:140.6130978847284 
null 0:419.1967666993538 5:372.0289826191719 8:290.72971908384955 
null 0:174.3197143251114 8:103.39189439839298 5:95.18334800806073 
null 0:509.0875119920161 6:238.19556615436048 8:126.87434341867336 
null 0:653.1713591803693 5:208.77075795513704 8:132.8622805033785 
null 0:281.0007910855351 5:96.0390757654998 6:75.55682093940143 
null 0:334.19842711142206 5:160.7133285745858 8:153.01266027752905 
null 0:630.4137904613935 2:312.47721006651284 8:196.02702951019904 
null 0:374.47124496150207 5:152.94055081754544 6:100.51783376093248 
null 0:305.98229860796056 2:141.68623841793098 8:114.42916805374728 
null 0:386.9622617901151 8:147.76569888290234 5:136.0939751232372 
null 0:373.53875708013663 5:303.3563755986068 6:285.04442600977967 
null 0:402.8741719356248 5:197.18787631997242 8:171.98470982596615 
null 0:342.1422077609152 5:164.5241493847292 8:151.63574979860235 
null 0:273.8616578786718 5:205.3430054162456 8:135.0081872039233 
null 0:431.27409301230136 6:292.43414195710267 5:221.76213648245076 
null 0:435.21658659620175 5:160.94224319205838 8:133.23766141918833 
null 0:525.7205482430741 6:129.32425842047513 2:126.44026125793258 
null 0:281.3229876652583 5:237.74436471376814 8:161.09003164286432 
null 0:544.0597937442689 8:309.25172337440523 5:282.95791558135255 
null 0:315.0851665567493 9:100.99445901756683 5:74.22404295492599 
null 0:661.459584098934 5:459.8983424964884 8:280.81878626304064 
null 0:507.427223203056 8:244.88100605119288 5:206.812208201619 
null 0:266.6168421994261 5:182.83067602312528 2:147.66425880772974 
null 0:473.97780257589915 5:154.2628347530419 8:119.3108824486253 
null 0:291.25518053922195 8:132.5798182899733 5:104.99880334346328 
null 0:358.12396713832686 5:288.7195825357795 2:114.48889097077416 
null 0:445.12563980535907 5:153.19436632565376 8:149.63757831030327 
null 0:245.7663508467062 5:174.4883720340421 8:135.08156679103723 
null 0:433.7415579493361 5:146.84466739400833 8:101.95199322450524 
null 0:252.64832317591024 5:208.6167598019403 8:167.49681597046913 
null 0:329.61894858353475 5:184.6673217618751 9:101.96932929780041 
null 0:427.06903263312887 2:357.2263066670249 8:239.75912399809604 
null 0:416.1021012830013 6:184.5894758290226 2:174.60658954593205 
null 0:526.8034449262851 5:339.2274971043874 8:292.54466221648136 
null 0:171.95601094221504 5:163.7963189958163 6:89.28929605457965 
null 0:284.9014966528128 5:129.35360165198935 8:104.16327008391917 
null 0:362.174213646759 5:182.74303052345192 2:136.67183041695915 
