null 0:6.634205382132818 5:2.1431385458886854 6:1.8105043722539962 
null 0:6.5753421719518395 5:3.0194208952061645 8:2.628757440165385 
null 0:6.348137446471502 8:2.070562043567108 9:1.5443593526974904 
null 0:11.241313394232941 5:5.709690604221909 6:5.034072798589317 
null 0:8.085723506545959 2:2.1325703835501937 5:1.9528428175477823 
null 0:6.012172005655996 5:3.059887965334696 8:2.4661996754251656 
null 0:8.076908678440963 5:4.863366939825783 2:2.0871566839342126 
null 0:9.61429539301363 5:4.253097153024865 8:3.757880720445829 
null 0:6.250646478697542 5:2.8412974014334003 8:2.407966344312182 
null 0:5.210555754582218 3:3.877166875542486 2:3.343363184026184 
null 0:5.579042691631038 5:2.8408648529218223 8:2.308488962346174 
null 0:5.793649696087554 5:2.2627191136756513 8:1.820760104026949 
null 0:4.871836171361297 5:1.4373696042960968 8:1.3605551645501954 
null 0:9.740768242024041 5:6.195742662357756 8:2.5166462145764865 
null 0:10.10973409717297 5:5.199834527906363 8:2.6692995125679495 
null 0:6.083641391040874 5:4.17020239649735 2:1.3434991191764492 
null 0:5.425726143763672 5:2.9751322533316658 8:2.0864422022953897 
null 0:5.314942634466364 5:2.768444795222628 8:2.0704408428323196 
null 0:9.148294973924646 2:5.4509399821944 8:4.21949104669628 
null 0:6.251842336022679 3:2.304757065695028 5:1.5740549561318187 
null 0:5.658625629427335 5:1.9672855196680807 2:1.684250465523851 
null 0:5.285723377152877 5:2.777195773322752 8:1.815943475971015 
null 0:10.231742599424267 5:4.461307634389081 2:2.905228880187041 
null 0:7.501837443198961 5:4.548550547477637 3:1.5567280993770647 
null 0:7.672614674099687 5:6.370277988908082 2:4.3938279414482855 
null 0:10.837621724031205 2:4.7818417557573385 6:3.699307930871695 
null 0:7.479545374133674 6:2.6638155333889526 5:2.298127748173096 
null 0:1.9262822073997647 9:1.2371596011174024 2:1.189193134093872 
null 0:7.882888311836976 5:3.708928143230177 8:2.832663917999701 
null 0:6.548736952790189 8:2.025178865012494 9:1.7670575582055412 
null 0:5.165935145123958 5:2.504229869919752 8:2.0100602807788053 
null 0:4.607718705736613 3:2.922266317455874 2:2.7663494993778532 
null 0:8.061390196098937 5:7.087068657440397 2:3.4839910787838795 
null 0:7.494339008775699 5:2.2929496132523406 9:2.1103779780161154 
null 0:5.15129807138639 5:2.2314001950059796 8:2.1626695494987143 
null 0:11.851814608072186 5:3.228287124299701 2:2.7006350590785173 
null 0:6.310706076160611 6:2.4513227292130093 8:2.175282561313576 
null 0:3.5222781452852496 5:1.4187451966964186 8:0.9889657853596633 
null 0:5.935538163185052 8:2.69049202656318 2:2.2906021590637806 
null 0:4.802452590866419 5:2.4671626590694022 2:1.4876199922173596 
null 0:5.292703553374861 6:4.242526523589067 5:1.268062937384172 
